
####################################################################################################
############################    New Connection @ 13:27:01 | 04-12-15    ############################
####################################################################################################

[LOG: 13:27:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 14
[LOG: 13:27:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 12
[LOG: 13:27:30 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 20
[LOG: 13:27:30 | 04-12-15] - PubEvent pub00, /p00-0, 28
[LOG: 13:27:30 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 28
[LOG: 13:27:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 28
[LOG: 13:27:30 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 28
[LOG: 13:27:30 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 20
[LOG: 13:27:30 | 04-12-15] - PubEvent pub10, /p00-1, 28
[LOG: 13:27:30 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 28
[LOG: 13:27:30 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 28
[LOG: 13:27:30 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 28
[LOG: 13:27:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 25
[LOG: 13:27:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 15
[LOG: 13:27:30 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 21
[LOG: 13:27:31 | 04-12-15] - PubEvent pub00, /p00-0, 29
[LOG: 13:27:31 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 29
[LOG: 13:27:31 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 29
[LOG: 13:27:31 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 29
[LOG: 13:27:31 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 21
[LOG: 13:27:31 | 04-12-15] - PubEvent pub10, /p00-1, 29
[LOG: 13:27:31 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 29
[LOG: 13:27:31 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 29
[LOG: 13:27:31 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 29
[LOG: 13:27:31 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 22
[LOG: 13:27:31 | 04-12-15] - PubEvent pub00, /p00-0, 30
[LOG: 13:27:31 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 30
[LOG: 13:27:31 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 30
[LOG: 13:27:31 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 30
[LOG: 13:27:31 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 22
[LOG: 13:27:31 | 04-12-15] - PubEvent pub10, /p00-1, 30
[LOG: 13:27:31 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 30
[LOG: 13:27:31 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 30
